iter	Passed	Remaining
0	0	33
1	0	30
2	0	27
3	1	25
4	1	24
5	1	24
6	1	23
7	1	22
8	2	22
9	2	22
10	2	21
11	2	21
12	3	20
13	3	20
14	3	20
15	3	19
16	4	19
17	4	19
18	4	19
19	4	18
20	4	18
21	5	18
22	5	17
23	5	17
24	5	17
25	6	17
26	6	16
27	6	16
28	6	16
29	6	16
30	7	15
31	7	15
32	7	15
33	7	15
34	8	15
35	8	14
36	8	14
37	8	14
38	9	14
39	9	14
40	9	13
41	9	13
42	10	13
43	10	13
44	10	13
45	10	12
46	11	12
47	11	12
48	11	12
49	12	12
50	12	11
51	12	11
52	13	11
53	13	11
54	13	11
55	13	10
56	14	10
57	14	10
58	14	10
59	14	9
60	15	9
61	15	9
62	15	9
63	16	9
64	16	8
65	16	8
66	16	8
67	17	8
68	17	7
69	17	7
70	17	7
71	18	7
72	18	6
73	18	6
74	18	6
75	19	6
76	19	5
77	19	5
78	19	5
79	20	5
80	20	4
81	20	4
82	20	4
83	21	4
84	21	3
85	21	3
86	21	3
87	22	3
88	22	2
89	22	2
90	22	2
91	23	2
92	23	1
93	23	1
94	23	1
95	24	1
96	24	0
97	24	0
98	24	0
99	25	0
